Comune;X;Y;denom;Localiz;nomeparco;weblink;cronologia;Tipologia;info;Telefono;Fax;e_mail;Social;Ticket;Ticket_rid;Orario;Scheda;FotoImage;OBJECTID;Note;Sheet;CODISTAT;data_caricamento
Catania;"15.085405";"37.507419";Anfiteatro;"Piazza Stesicoro";"Parco archeologico di Catania";"http://it.wikipedia.org/wiki/Anfiteatro_romano_di_Catania";imperiale;Anfiteatro;NULL;"095/7150508";NULL;"Poloregionalect@regione.sicilia.it; poloregionalect.urp.@regione.sicilia.it";NULL;Gratuito;Gratuito;"Da martedì a sabato dalle ore 9.00 alle ore 13.00 e dalle ore 14.30 alle ore 17.00. Giorni di chiusura:lunedì e domenica.";"http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Catania_anfiteatro.pdf";"http://gis.osservatorioturistico.sicilia.it/doc/foto/archeo/ico/Catania_anfiteatro.jpg";"1";"(parco in corso di definizione)";"http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Catania_anfiteatro_eng.pdf";"087015";"1587553507"
Catania;"15.082748";"37.504060";"Terme della Rotonda";"Via della Mecca";"Parco archeologico di Catania";"http://it.wikipedia.org/wiki/Terme_della_Rotonda";imperiale;Terme;NULL;"095/7150508";NULL;"Poloregionalect@regione.sicilia.it; poloregionalect.urp.@regione.sicilia.it";NULL;Gratuito;Gratuito;"Tutti i mercoledì e tutte le domeniche dalle ore 9.00 alle 13.00";"http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Catania_rotonda.pdf";"http://gis.osservatorioturistico.sicilia.it/doc/foto/archeo/ico/Catania_rotonda.jpg";"2";"(parco in corso di definizione)";"http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Catania_rotonda_eng.pdf";"087015";"1587553507"
Catania;"15.080725";"37.503476";"Domus e Balneum";"Piazza Dante";"Parco archeologico di Catania";"http://www.regione.sicilia.it/bbccaa/Dirbenicult/musei/cartedelleareearcheologiche/areaarcheocatania.pdf pag.14-16";"ellenistica; imperiale";"Casa; Terme";NULL;"095/7150508";NULL;"Poloregionalect@regione.sicilia.it; poloregionalect.urp.@regione.sicilia.it";NULL;Libero;Libero;"Sito aperto non custodito";"http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Catania_domusterma.pdf";"http://gis.osservatorioturistico.sicilia.it/doc/foto/archeo/ico/Catania_domusterma.jpg";"3";"(parco in corso di definizione)";"http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Catania_domusterma_eng.pdf";"087015";"1587553507"
Catania;"15.084138";"37.503024";"Teatro Romano";"Via Vittorio Emanuele 260";"Parco archeologico di Catania";"http://it.wikipedia.org/wiki/Teatro_romano_di_Catania";"ellenistica; imperiale";Teatro;"Biglietto unico Odeon e Teatro Romano";"095/7150508";"095/311004";"Poloregionalect@regione.sicilia.it; poloregionalect.urp.@regione.sicilia.it";NULL;"€ 6,00";"€ 3,00";"Da lunedì a domenica dalle ore 9.00 alle ore 17.00";"http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Catania_teatroromano.pdf";"http://gis.osservatorioturistico.sicilia.it/doc/foto/archeo/ico/Catania_teatroromano.jpg";"4";"(parco in corso di definizione)";"http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Catania_teatroromano_eng.pdf";"087015";"1587553507"
Catania;"15.085697";"37.500911";"Terme dell'Indirizzo";"Piazza Currò";"Parco archeologico di Catania";"http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=151&IdSito=31";imperiale;Terme;NULL;"095/7150508";NULL;"Poloregionalect@regione.sicilia.it; poloregionalect.urp.@regione.sicilia.it";NULL;Gratuito;Gratuito;"Le Terme Romane dell'Indirizzo sono visitabili su prenotazione";"http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Catania_indirizzo.pdf";"http://gis.osservatorioturistico.sicilia.it/doc/foto/archeo/ico/Catania_indirizzo.jpg";"5";"(parco in corso di definizione)";"http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Catania_indirizzo_eng.pdf";"087015";"1587553507"
Catania;"15.087453";"37.502250";"Terme Achilliane";"Piazza Duomo sotto la Cattedrale";"Parco archeologico di Catania";"http://www.museodiocesanocatania.com/le_terme.aspx";imperiale;Terme;"Biglietto integrato Museo Diocesiano, Terme Achilliane e Monastero dei Benedettini € 13,00";"095/281635";NULL;"info@museodiocesanocatania.com";NULL;"€ 5,00";"€ 3,00";"Da Lunedì a Venerdì ore 9.00 - 14.00. Martedì e Giovedì ore 15.00 - 18.00. Sabato ore 9.00 - 13.00. Domenica e Festivi su prenotazione";"http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Catania_achilliane.pdf";"http://gis.osservatorioturistico.sicilia.it/doc/foto/archeo/ico/Catania_achilliane.jpg";"6";"(parco in corso di definizione)";"http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Catania_achilliane_eng.pdf";"087015";"1587553507"
Catania;"15.079031";"37.504002";"Domus imperiale";"Ex Convento dei Benedettini, Piazza Dante 32";"Parco archeologico di Catania";"http://www.monasterodeibenedettini.it/";imperiale;Casa;"Biglietto integrato Museo Diocesiano, Terme Achilliane e Monastero dei Benedettini € 13,00";"095 7102767 / 334 9242464";NULL;"info@officineculturali.net";NULL;"€ 7,00";NULL;"Dal lunedì alla domenica, dalle 9:00 alle 17:00; ad agosto, tutti i giorni dalle 11:00 alle 18:00. Solo visite guidate. Si consiglia la prenotazione ai numeri 095 7102767 | 334 9242464";"http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Catania_domusimperiale.pdf";"http://gis.osservatorioturistico.sicilia.it/doc/foto/archeo/ico/Catania_domusimperiale.jpg";"7";"(parco in corso di definizione)";"http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Catania_domusimperiale_eng.pdf";"087015";"1587553507"
Catania;"15.082772";"37.503147";Odeon;"tra Via Teatro Greco e Via Sant'Agostino, ingresso Via Vittorio Emanuele 260";"Parco Archeologico di Catania";"www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=148&IdSito=29";imperiale;"Edificio pubblico civile";"Biglietto unico Odeon e Teatro Romano";"095/7150508";"095/311004";"Poloregionalect@regione.sicilia.it; poloregionalect.urp.@regione.sicilia.it";NULL;"€ 6,00";"€ 3,00";"Da lunedì a domenica dalle ore 9.00 alle ore 17.00";"http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Catania_teatroromano.pdf";"http://gis.osservatorioturistico.sicilia.it/doc/foto/archeo/ico/Catania_odeon.jpg";"192";NULL;"http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Catania_teatroromano_eng.pdf";"087015";"1587553507"
"Aci Catena";"15.154010";"37.583609";"Santa Venera al Pozzo";"via Alimena 7";"Parco archeologico e paesaggistico della Valle dell'Aci";"http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=93&IdSito=34";"classica; ellenistica; imperiale";Abitato;"Il Parco comprende anche i resti di un tempietto di epoca romana a Capo Mulini e un insediamento di età greca a Valverde";"095877169";"095877169";"urpsoprict@regione.sicilia.it";NULL;Libero;Libero;"Da lunedì a sabato dalle 9.00 alle 19.00. Prima domenica del mese dalle 9.00 alle 13.00. Altre domeniche e festivi chiusura";"http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Aci_santavenera.pdf";"http://gis.osservatorioturistico.sicilia.it/doc/foto/archeo/ico/Aci_santavenera.jpg";"8";"(parco in corso di definizione)";"http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Aci_santavenera_eng.pdf";"087003";"1587553507"
Mineo;"14.697663";"37.329483";"Santuario dei Palici";"C.da Rocchicella";"Area archeologica di Palikè";"http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=38&IdSito=37";"arcaica; classica; ellenistica";Santuario;NULL;"3315771468";NULL;NULL;"https://www.facebook.com/Area-archeologica-di-Palik%C3%A8-172363679455109/";Gratuito;Gratuito;"Chiusa lunedi, domenica e festivi. Aperta da martedì a sabato dalle 9 alle 13.00; mercoledì dalle 9 alle alle 17.30.";"http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Palike.pdf";"http://gis.osservatorioturistico.sicilia.it/doc/foto/archeo/ico/Palike.jpg";"9";NULL;"http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Palike_eng.pdf";"087027";"1587553507"
