Comune;Provincia;Categoria;Tipologia;Nome;Indirizzo;Sito internet;Telefono;Email;Codice;Longitudine;Latitudine
Alcamo;Trapani;1 Stella;Affittacamere;Enny camere 1;Contrada San Gaetano 16;;0924501983;info@camereenny.com;TRS-IT-SIC-01533;12.962828;37.987717
Alcamo;Trapani;1 Stella;Affittacamere;Enny Camere 2;Contrada San Gaetano 16;;0924501983;info@camereenny.com;TRS-IT-SIC-01534;12.962828;37.987717
Alcamo;Trapani;1 Stella;Affittacamere;Windsurf;Contrada Calatubo 180;;0924597900;vacanze@affittacamerewindsurf.com;TRS-IT-SIC-01559;12.962998;38.033828
Alcamo;Trapani;1 Stella;Hotel;La Principessa;Via Canap� 5;;0924507789;albergolaprincipessa@libero.it;TRS-IT-SIC-05648;12.949835;37.975562
Alcamo;Trapani;1 Stella;Ostelli;Ostello Cielo D'Alcamo;Via Per Monte Bonifato 1;;0924202626;info@boscoalcamo.it;TRS-IT-SIC-01468;12.961583;37.959687
Alcamo;Trapani;2 Stelle;Bed & Breakfast;Scacciapensieri;Contrada Molinello 22;;3348181276;info@bbscacciapensieri.com;TRS-IT-SIC-05052;12.89115;38.014678
Alcamo;Trapani;3 Spighe;Agriturismo;AgriturismoTarantola;Contrada Tarantola 140;;3292713073;gorgodeldrago@gmail.com;TRS-IT-SIC-05732;13.012746;37.940909
Alcamo;Trapani;3 Stelle;Bed & Breakfast;B & B Rahal;Via Marco Polo 15;;0924514414;archlongo@hotmail.com;TRS-IT-SIC-01806;12.961686;37.98171
Alcamo;Trapani;3 Stelle;Bed & Breakfast;Casa Azul;Contrada Forgia Mulinello 31;;0924597028;bebcasaazul@gmail.com;TRS-IT-SIC-05439;12.968626;37.978395
Alcamo;Trapani;3 Stelle;Bed & Breakfast;Costapicca;Contrada Costa 37;;3392699039;costapicca@hotmail.it;TRS-IT-SIC-05558;12.96005;37.97962
Alcamo;Trapani;3 Stelle;Bed & Breakfast;Elisa;SS 187 1433;;0924598020;mariaelisa.orlando@libero.it;TRS-IT-SIC-02253;12.966427;37.97664
Alcamo;Trapani;3 Stelle;Turismo Rurale;Baglio Fastuchera;Contrada Fastuchera 1;;3388316832;info@bagliofastuchera.it;TRS-IT-SIC-01494;12.944124;37.94533
Alcamo;Trapani;4 Stelle;Hotel;Grand Hotel La Batia - Dimora Storica;Via Porta Palermo 106;;092451460;info@hotelabatia.it;TRS-IT-SIC-00644;12.97306;37.980453
Alcamo;Trapani;4 Stelle;Hotel;Hotel Centrale;Via G. Amendola 24;;0924507845;info@hotelcentrale.sicilia.it;TRS-IT-SIC-00898;12.964258;37.981351
Alcamo;Trapani;4 Stelle;Hotel;La Battigia;Via Lungomare la Battigia 1;;0924597259;info@labattigia.it;TRS-IT-SIC-00696;12.968626;37.978395
Alcamo;Trapani;4 Stelle;Residenze Turistico Alberghiere;La Blanca Resort;Contrada Molinello 12;;0924597478;info@lablancaresort.com;TRS-IT-SIC-07139;12.911178;38.011753
Buseto Palizzolo;Trapani;1 Stella;Case e Appartamenti per Vacanze;Al Basyta s.a.s. case vacanze;Via Castellammare vecchia 61;;3289494409;al.basyta@gmail.com;TRS-IT-SIC-07486;12.723371;38.031068
Buseto Palizzolo;Trapani;1 Stella;Case e Appartamenti per Vacanze;Baglio Minaudo;Via Roma 78;;3381898022;info@bagliominaudo.it;TRS-IT-SIC-07484;12.718613;38.017226
Buseto Palizzolo;Trapani;1 Stella;Case e Appartamenti per Vacanze;Baglio Mustazza;Via Matteotti 68;;0923852532;info@casamustazza.com;TRS-IT-SIC-04172;12.715535;38.005124
Buseto Palizzolo;Trapani;1 Stella;Case e Appartamenti per Vacanze;Case Vacanze Mustazza;Via Battipaglia 66;;0923852532;info@casamustazza.com;TRS-IT-SIC-04189;12.716941;38.002146
Buseto Palizzolo;Trapani;1 Stella;Case e Appartamenti per Vacanze;La Casa del Monachello;Via Poma Michele 17;;0923851181;mp@lombardobikes.com;TRS-IT-SIC-07450;12.71583;38.02467
Buseto Palizzolo;Trapani;2 Stelle;Turismo Rurale;Casale Colomba;Via Toselli 165;;0923852729;info@casecolomba.com;TRS-IT-SIC-01492;12.702485;37.999243
